,city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm,employed_percentage_norm
218,New Holstein,3223,12.83,844,84.1,111600,0.7298065984072811,0.947072072072072
219,Darlington,2284,12.83,795,79.9,89700,0.7298065984072811,0.8997747747747749
220,Merrill,9491,12.83,1488,80.1,86300,0.7298065984072811,0.902027027027027
221,Darien,1598,12.83,769,80.3,145300,0.7298065984072811,0.9042792792792793
222,Denmark,2172,12.82,179,75.7,135000,0.7292377701934016,0.8524774774774775
223,Princeton,1187,12.81,730,77.3,82200,0.7286689419795223,0.8704954954954955
224,Frederic,1032,12.78,476,79.2,98000,0.726962457337884,0.891891891891892
225,Ellsworth,3248,12.77,972,74.2,157700,0.7263936291240046,0.8355855855855856
226,Waterloo,3346,12.77,489,80.7,149900,0.7263936291240046,0.9087837837837839
227,Rib Lake,1025,12.77,111,75.9,85500,0.7263936291240046,0.8547297297297298
228,Tomahawk,3335,12.76,1206,79.6,136200,0.7258248009101252,0.8963963963963963
229,Fox Lake,1544,12.75,469,82.6,120900,0.7252559726962458,0.9301801801801801
230,Theresa,1236,12.74,1196,76.5,120700,0.7246871444823664,0.8614864864864865
231,Sturtevant,6981,12.74,509,81.7,141300,0.7246871444823664,0.9200450450450451
232,Manawa,1273,12.74,577,80,93600,0.7246871444823664,0.9009009009009009
233,Racine,78347,12.74,2412,74.8,114800,0.7246871444823664,0.8423423423423423
234,Valders,1042,12.73,194,77.9,112700,0.724118316268487,0.8772522522522523
235,Delavan,8467,12.73,1410,76.4,148100,0.724118316268487,0.8603603603603605
236,Palmyra,1668,12.72,1494,80.9,155200,0.7235494880546076,0.9110360360360361
237,Albany,1167,12.72,1246,77.6,125600,0.7235494880546076,0.8738738738738738
238,Sharon,1607,12.71,640,75.4,140600,0.7229806598407282,0.8490990990990992
239,Chilton,3953,12.7,645,79,130900,0.7224118316268487,0.8896396396396397
240,Boscobel,3201,12.67,1319,85.9,88000,0.7207053469852105,0.9673423423423424
241,Algoma,3152,12.67,1045,79.6,97100,0.7207053469852105,0.8963963963963963
242,Antigo,8075,12.66,2054,81.6,77200,0.7201365187713311,0.9189189189189189
243,West Milwaukee,4214,12.65,3808,80.1,131000,0.7195676905574517,0.902027027027027
244,Marion,1171,12.65,685,79.2,91800,0.7195676905574517,0.891891891891892
245,Athens,1008,12.62,545,81.9,106400,0.7178612059158135,0.9222972972972974
246,Juneau,2750,12.62,685,80.4,130700,0.7178612059158135,0.9054054054054055
247,Berlin,5451,12.6,1064,79,103000,0.7167235494880546,0.8896396396396397
248,Clintonville,4516,12.6,1641,81.4,91300,0.7167235494880546,0.9166666666666667
249,North Fond Du Lac,5000,12.59,687,77.1,98500,0.7161547212741752,0.8682432432432432
250,Beloit,36876,12.57,2045,76.7,85500,0.7150170648464165,0.8637387387387389
251,Elroy,1385,12.55,888,80.4,82200,0.7138794084186577,0.9054054054054055
252,Markesan,1510,12.54,651,79.9,108200,0.7133105802047782,0.8997747747747749
253,Blair,1299,12.48,878,76.4,95500,0.7098976109215018,0.8603603603603605
254,New Lisbon,2545,12.47,539,85.1,82900,0.7093287827076225,0.9583333333333333
255,Gillett,1417,12.44,912,80.7,87500,0.7076222980659841,0.9087837837837839
256,Mauston,4446,12.4,1807,82.4,103900,0.7053469852104666,0.927927927927928
257,Adams,1570,12.4,1892,80.4,81500,0.7053469852104666,0.9054054054054055
258,Waupun,11336,12.37,782,83.1,120200,0.7036405005688282,0.9358108108108107
259,Mayville,5086,12.36,492,81,137100,0.7030716723549488,0.9121621621621622
260,Independence,1557,12.36,396,75.5,105200,0.7030716723549488,0.8502252252252253
261,Barron,3392,12.33,904,82.6,87400,0.7013651877133107,0.9301801801801801
262,Stanley,3606,12.31,712,83.6,87800,0.7002275312855518,0.9414414414414414
263,Wautoma,2010,12.27,1111,75,85700,0.6979522184300342,0.8445945945945946
264,Arcadia,2953,11.97,578,73.4,111000,0.680887372013652,0.8265765765765767
